national_tmed,national_tmin,national_tmax
7.406794781,1.275915207,13.54662075
8.624643591,2.151974716,15.11537502
9.159460124,3.364300939,14.98207496
7.543700186,2.56370711,12.47198064
7.545382047,2.566761527,12.53929742
7.665147364,2.161292662,13.16971957
9.367726389,3.149599668,15.59467546
9.28981358,3.444499922,15.13636749
10.19312565,4.897240678,15.45012788
9.64379489,4.667913796,14.6291699
9.465197967,4.746556064,14.20276226
7.202254774,3.748524195,10.65544087
5.479337786,2.620479578,8.312522649
4.67935217,1.259023392,8.110336201
5.041610952,1.515854782,8.566223937
6.194021435,2.772133971,9.599088755
6.478817814,1.954165238,11.01200525
7.74784897,2.350726063,13.15101082
8.487752408,3.357844089,13.62024385
8.642546862,3.327178037,13.96367245
9.303576304,4.259521866,14.36518246
11.57181154,8.879222479,14.27219123
5.606589173,2.215699553,9.005688986
6.660721677,3.5783936,9.722517868
3.596257478,0.984268581,6.188820973
4.121542133,0.534991072,7.679636459
3.192564577,-0.596304148,6.97588889
5.797474174,0.199857734,11.42597439
7.065350673,1.960462855,12.18386872
7.527572377,2.947707745,12.09173446
7.883319333,4.009225918,11.75127014
8.662772284,3.618374062,13.70193235
9.724839909,5.919732023,13.5214768
8.544955266,5.46955013,11.59567599
8.056514244,3.660356825,12.43377218
8.240065462,2.796981785,13.68916155
8.029777833,2.866752646,13.1966088
10.5437617,5.683295062,15.42470301
8.333678356,4.536258814,12.14799243
9.472566594,4.628078693,14.33164168
11.98217576,7.980666715,15.99347844
10.21143451,5.924910148,14.50207673
14.62328031,9.476553948,19.76660165
13.25434956,8.42594938,18.07470753
10.58429693,5.421469333,15.70283696
9.544489936,3.28854407,15.79302337
10.66073663,3.20889366,18.10487511
13.03349939,5.894246138,20.16560645
13.56365191,6.2083447,20.93406826
14.32412854,7.177812354,21.48534979
13.72235075,6.761842823,20.70030783
11.39171413,6.153013276,16.62843619
8.280090321,2.55133003,14.02048276
9.240086754,3.86941492,14.62997685
8.961060957,5.794827348,12.10614045
10.67902052,7.343319839,14.04704437
10.88193935,7.884694336,13.89554782
9.31778482,6.392291872,12.23733301
9.191512811,6.045244386,12.31510124
7.949169101,4.258862929,11.62827592
9.347485663,3.689466843,14.9888968
13.71565693,8.236065126,19.19743582
17.30057183,10.65232822,23.94589675
17.60702941,11.01289175,24.19829831
14.61724281,8.570640808,20.66234411
14.36870378,7.082364802,21.6284934
14.70424886,8.118361375,21.28307518
12.89184829,8.00651387,17.79885921
12.16082742,6.843969464,17.47275741
12.06864786,7.019230348,17.13888538
11.31261357,7.130657526,15.47321516
12.96433334,7.984614902,17.94202446
15.98848926,9.713771053,22.25624387
16.88024681,10.53034971,23.24790672
